EXP;PROJECT;CONFIG;FIT_MEAN;FIT_STD;SCORE_MEAN;SCORE_STD;MAE;RMSE;MAPE;R2
4;apache_kafka_measures;40C1;125.22550601959229;47.2520419818432;0.1627629280090332;0.015043563813227908;4340.675694444444;5412.627103593944;7.841996310007415;-26.43600316292742
5;apache_kafka_measures;1C1;176.26511068344115;75.77207281445908;0.15825891494750977;0.009099567637628928;2611.20146484375;3170.864517649147;5.3870419852646805;-5.228073973824267
5;apache_kafka_measures;5C1;171.69866795539855;65.96679190576266;0.17194924354553223;0.03169445846405544;2284.1591711956526;2843.0377068963444;4.865291165028937;-4.760095817766031
5;apache_kafka_measures;10C1;163.4272749900818;64.76497383908963;0.15627737045288087;0.007374838945566856;3355.220499320652;3707.181454635752;6.901252633379231;-8.643596627171808
5;apache_kafka_measures;20C1;167.7544960975647;72.07685415939208;0.1706172466278076;0.02213274738478156;3597.693005952381;4106.017261310781;6.617799878006598;-14.729275503665258
5;apache_kafka_measures;40C1;129.55692462921144;50.0212826857213;0.1815260410308838;0.019053674040491193;4466.806163194444;4982.937684217602;8.11070532419213;-27.628257801741476
1;apache_kafka_measures;1C2;171.79528398513793;75.47787867936135;0.18375720977783203;0.03493969081447907;3373.052587890625;4058.871820608763;7.115269661616784;-7.162777927237686
1;apache_kafka_measures;5C2;169.13593187332154;68.04810881418538;0.15215916633605958;0.0048677626436223025;3115.2914911684784;3653.8490295844726;6.387226201412263;-7.267660121819577
1;apache_kafka_measures;10C2;162.41733918190002;75.42336275816628;0.16259827613830566;0.02474998084778819;3081.118155570652;3442.53782440203;6.157672861384093;-10.16817463313027
1;apache_kafka_measures;20C2;159.97339119911194;72.27511320068642;0.16013107299804688;0.00861001664492779;2687.889099702381;3205.339362299779;5.2705936447692014;-2.451891080142351
1;apache_kafka_measures;40C2;134.27339186668397;50.37223913484085;0.15464382171630858;0.006346806876058521;5992.512673611111;6703.378453471359;10.664616553880185;-60.752474799776266
