EXP;PROJECT;CONFIG;FIT_MEAN;FIT_STD;SCORE_MEAN;SCORE_STD;MAE;RMSE;MAPE;R2
2;apache_kafka_measures;10C2;69.91833467483521;32.20425367252152;0.11278619766235351;0.015796382829368884;4897.731810461957;5264.42439915852;10.26325435315874;-11.26741566823691
2;apache_kafka_measures;20C2;66.95163850784301;30.269575969848006;0.10039801597595215;0.007557840296693965;4541.4031063988095;4951.361579625172;8.52199208277085;-19.45185742851435
2;apache_kafka_measures;40C2;54.41331648826599;24.784798352141266;0.1112051010131836;0.03037206041211246;6687.998654513889;7102.752084261179;12.559453004450184;-93.8383331611602
3;apache_kafka_measures;1C2;76.74666290283203;33.465722100072234;0.11540522575378417;0.028945740766419474;4332.139567057291;4796.8648470796625;9.902503297269366;-11.924791099879954
3;apache_kafka_measures;5C2;77.53691186904908;32.66470415586646;0.0952268123626709;0.002641868857250898;5532.130197010869;5947.789074439935;11.758395089113785;-16.928451286895363
3;apache_kafka_measures;10C2;68.98218326568603;32.30621040100234;0.095770263671875;0.00302106657667022;2330.067442255435;2784.103960607861;5.017944071183345;-3.715005457307535
3;apache_kafka_measures;20C2;67.0521628856659;30.45619585152842;0.10042352676391601;0.009407745395662479;4105.3188244047615;4549.795465911846;7.900603625888887;-13.45404163257319
3;apache_kafka_measures;40C2;55.4147910118103;24.8671269457652;0.10193562507629395;0.012053836718781297;6580.7686197916655;6957.358350586006;11.946151001585392;-113.19140937195702
4;apache_kafka_measures;1C2;76.63753452301026;34.02553943089706;0.12426619529724121;0.04311885072186929;5392.827034505209;5920.863353481158;12.179944849554818;-24.387527148090395
4;apache_kafka_measures;5C2;75.54717292785645;32.61413294777767;0.1022921085357666;0.013480774498755102;3867.5588994565214;4360.21810512059;8.062802640608522;-10.888172832688403
4;apache_kafka_measures;10C2;70.68373990058899;32.59315404517336;0.10016899108886719;0.004301226480940452;4820.956844429347;5198.857781630345;10.19402649960862;-10.624640021108124
4;apache_kafka_measures;20C2;66.33122425079345;29.63348390752752;0.12017154693603516;0.03411726889582852;5102.662927827381;5581.410936113929;10.135421890522782;-27.888993775530775
4;apache_kafka_measures;40C2;57.4306736946106;26.767190017560292;0.10721101760864257;0.009219662492194084;6634.801388888889;7230.452215262671;11.59170671728089;-165.15530823328547
5;apache_kafka_measures;1C2;76.80306630134582;33.362408265492085;0.10360884666442871;0.011435787224617347;2910.1561686197915;3275.5212350081356;6.828195206642173;-4.182962931815842
5;apache_kafka_measures;5C2;75.2867374420166;32.300710054495745;0.09705500602722168;0.0023677283065030863;2259.268070652174;2528.9735996115564;5.0228818292339295;-3.308461934175509
5;apache_kafka_measures;10C2;71.01169643402099;33.86872461000267;0.09769973754882813;0.006146019141633028;3600.9936311141305;3937.141691400003;7.252682344426249;-18.01725306547654
5;apache_kafka_measures;20C2;66.84999232292175;30.074023504801588;0.09972233772277832;0.009379344529917764;3403.19060639881;3821.947781769136;6.7746299048450656;-3.938603849719617
5;apache_kafka_measures;40C2;55.6464702129364;25.26061344857223;0.09624757766723632;0.0035283697501038245;5669.314236111111;6188.94408090082;9.83171215509409;-134.2221566813957
1;apache_kafka_measures;1C3;75.34692692756653;33.30113802008653;0.11113386154174805;0.024968338357284518;1868.667626953125;2271.2324901836932;3.7986700619511744;-5.238698023620553
1;apache_kafka_measures;5C3;75.19368348121642;32.89760531486244;0.10005993843078613;0.008016540454093066;4559.945652173913;4944.9580387069545;9.050495590900574;-29.488245027976234
1;apache_kafka_measures;10C3;71.41503582000732;32.36470622391394;0.11310200691223145;0.027241535273198093;5827.22004076087;6115.817680808723;12.465852024222773;-18.462455011150997
1;apache_kafka_measures;20C3;67.62651333808898;31.94498775727787;0.12763700485229493;0.040900357531089525;3243.889025297619;3793.954989217138;6.21198803671418;-4.948694617836063
1;apache_kafka_measures;40C3;55.5790397644043;25.583423690737327;0.11991238594055176;0.04284402255162087;7195.515494791665;7811.103917943304;12.810001977170135;-140.00855798222128
2;apache_kafka_measures;1C3;77.26999535560608;34.09802155986383;0.09824004173278808;0.004845639537347422;4158.590804036458;4484.914421300614;8.948043950976606;-7.838993631063971
2;apache_kafka_measures;5C3;74.43360414505005;31.703145068353187;0.11636724472045898;0.02238684309448343;4486.742646059783;4906.464113293077;9.014902114953795;-12.933469587918335
2;apache_kafka_measures;10C3;69.4046455860138;31.283492751351375;0.09700183868408203;0.0023410461302784246;3521.917034646739;3902.172198421661;7.396127122560069;-13.92545791631233
2;apache_kafka_measures;20C3;68.08095154762267;30.145200420749763;0.09851412773132324;0.0020368671705016184;5505.319996279762;5991.406254187377;10.574768336523302;-23.578159833082076
2;apache_kafka_measures;40C3;56.454159307479856;26.364125694769452;0.09589996337890624;0.0032767716347650105;7352.397092013889;7843.5507185096885;13.127943860055018;-104.38876311735562
3;apache_kafka_measures;1C3;75.64603881835937;32.430029638298905;0.1090703010559082;0.017474210670837438;3870.335986328125;4365.351151916568;7.958419508332042;-12.01690343121731
3;apache_kafka_measures;5C3;75.56333575248718;32.1088302739332;0.1100705623626709;0.029129334277871184;4015.997214673913;4653.53801818119;8.494144943230234;-10.566984834027073
3;apache_kafka_measures;10C3;69.78215990066528;31.469008833834913;0.10213942527770996;0.007751082882671584;3817.9356997282607;4181.644057056446;7.966285413555767;-7.588406347223857
3;apache_kafka_measures;20C3;66.8395966053009;30.568665124343983;0.11097769737243653;0.022736812753093156;3898.143340773809;4306.544504274033;7.593253604511109;-4.268060401504103
3;apache_kafka_measures;40C3;56.731259441375734;25.479020543569774;0.09608855247497558;0.001599795065751897;6574.592361111111;6997.815129654034;11.820689069112788;-156.16704308345783
4;apache_kafka_measures;1C3;77.79024500846863;32.044325838067245;0.0983344554901123;0.0037841943711238207;3308.6972819010416;4065.133931831205;7.867147816403214;-9.603848562323083
4;apache_kafka_measures;5C3;75.71688075065613;32.34693747067322;0.10383057594299316;0.011282281899435422;3311.655689538043;3537.71625772499;6.85654683011356;-5.6022367601171705
4;apache_kafka_measures;10C3;70.75364065170288;32.89913165734008;0.11906313896179199;0.029889058034810352;5113.744989809782;5409.112884367745;10.787041986188322;-19.682460086671306
4;apache_kafka_measures;20C3;66.82233376502991;29.739347027648773;0.10226173400878906;0.012388361745315045;6438.895014880953;6819.699254682499;11.719069476038362;-31.61891851310987
4;apache_kafka_measures;40C3;56.19753022193909;25.74899132057236;0.09337096214294434;0.005259873112057803;7489.794878472222;8031.932597022489;13.251648063069847;-241.00089008125087
5;apache_kafka_measures;1C3;76.24555191993713;32.56290375529023;0.10453858375549316;0.013541646659634077;4411.448209635417;4772.5651545264645;9.908326932728048;-8.96809463286581
5;apache_kafka_measures;5C3;75.29848423004151;32.01834254862843;0.10778555870056153;0.013758544522130952;2704.5704483695654;3006.625011687541;5.739803653613821;-4.2619095326815115
5;apache_kafka_measures;10C3;74.5017647266388;35.4294242985663;0.1000640869140625;0.004698349170941944;3926.0831521739137;4374.704298091021;8.360392748612687;-9.239263896114451
5;apache_kafka_measures;20C3;66.76132669448853;29.613970186486572;0.1315985679626465;0.032799625091434276;5774.456510416667;6256.090402796666;11.712772088306318;-28.206570357251127
5;apache_kafka_measures;40C3;57.62268452644348;25.99770609171978;0.10236668586730957;0.010903586065198454;2989.402126736111;3353.225932721434;5.431391198945437;-20.12888532868366
