Dataset;Algoritm;window;model;resample;F1-Score(weighted);Accuracy;Sensitivity;Specificity;ROCAUCscore
pdfbox;RandomForest;3;model1;SMOTE;0.938719419;0.9389359591;0.723304231;0.96658629;0.8449452605
pdfbox;MLP;3;model1;ROS;0.9002921102;0.891000687;0.7777031565;0.9055287633;0.8416159599
pdfbox;MLP;3;model1;ADA;0.8976971748;0.8876421647;0.7803895232;0.9013951085;0.8408923158
pdfbox;DT;3;model1;ADA;0.9163775154;0.911915121;0.7474815312;0.9330003445;0.8402409379
pdfbox;DT;3;model1;SMOTE;0.893854051;0.883596672;0.7568838146;0.8998449879;0.8283644013
pdfbox;MLP;3;model1;SMOTE;0.8981408407;0.889550416;0.7421087979;0.9084567689;0.8252827834
pdfbox;RandomForest;3;model1;ROS;0.9354761617;0.9368750477;0.674278039;0.9705477093;0.8224128741
pdfbox;DT;3;model1;ROS;0.9242935928;0.9246622395;0.6574882471;0.958921805;0.8082050261
pdfbox;DT;3;model1;NONE;0.922296403;0.9230593084;0.639355272;0.9594385119;0.7993968919
pdfbox;MLP;3;model1;NONE;0.9302025579;0.9348141363;0.5762256548;0.9807957286;0.7785106917
pdfbox;RandomForest;3;model1;NONE;0.9301125053;0.9364170674;0.5392881128;0.9873406821;0.7633143974
pdfbox;LogistRegression;3;model1;ROS;0.8064045373;0.7698648958;0.7112155809;0.7773854633;0.7443005221
pdfbox;LogistRegression;3;model1;NONE;0.8042292329;0.7669643539;0.7112155809;0.7741129866;0.7426642837
pdfbox;LogistRegression;3;model1;SMOTE;0.8062348707;0.7697885658;0.7058428475;0.777988288;0.7419155678
pdfbox;LogistRegression;3;model1;ADA;0.7931661507;0.7519273338;0.7246474144;0.755425422;0.7400364182
junit4;DT;3;model1;SMOTE;0.973267687;0.9721964782;0.8214285714;0.9804496579;0.9009391146
junit4;RandomForest;3;model1;SMOTE;0.9813048632;0.9814643188;0.8035714286;0.991202346;0.8973868873
junit4;DT;3;model1;ADA;0.9689253439;0.9675625579;0.7857142857;0.9775171065;0.8816156961
junit4;RandomForest;3;model1;ADA;0.9784371382;0.9791473587;0.7321428571;0.9926686217;0.8624057394
junit4;LogistRegression;3;model1;ROS;0.902326894;0.874884152;0.7767857143;0.8802541544;0.8285199344
junit4;DT;3;model1;NONE;0.969686137;0.9703429101;0.6696428571;0.9868035191;0.8282231881
junit4;DT;3;model1;ROS;0.9664936341;0.9666357739;0.6696428571;0.9828934506;0.8262681539
junit4;LogistRegression;3;model1;SMOTE;0.9037565637;0.8772011121;0.7678571429;0.8831867058;0.8255219243
junit4;LogistRegression;3;model1;NONE;0.8967976085;0.8665430955;0.7767857143;0.8714565005;0.8241211074
junit4;LogistRegression;3;model1;ADA;0.9016033896;0.8739573679;0.7678571429;0.8797653959;0.8238112694
junit4;RandomForest;3;model1;ROS;0.9729886494;0.9749768304;0.6160714286;0.9946236559;0.8053475422
junit4;MLP;3;model1;ADA;0.959460662;0.9606116775;0.5625;0.9824046921;0.772452346
junit4;MLP;3;model1;SMOTE;0.9568124629;0.9573679333;0.5625;0.9789833822;0.7707416911
junit4;MLP;3;model1;ROS;0.9560195445;0.9573679333;0.5267857143;0.9809384164;0.7538620654
junit4;MLP;3;model1;NONE;0.956888425;0.9624652456;0.4017857143;0.9931573803;0.6974715473
junit4;RandomForest;3;model1;NONE;0.9587093045;0.9652455978;0.3839285714;0.9970674487;0.6904980101
commons-io;RandomForest;3;model1;ROS;0.9665013157;0.9667216155;0.8309455587;0.9831389306;0.9070422447
commons-io;RandomForest;3;model1;SMOTE;0.9618290542;0.961982279;0.8147086915;0.9797898141;0.8972492528
commons-io;RandomForest;3;model1;ADA;0.9623528718;0.9626004533;0.811843362;0.9808291951;0.8963362785
commons-io;DT;3;model1;SMOTE;0.9357075476;0.9321038533;0.8261700096;0.9449128075;0.8855414085
commons-io;MLP;3;model1;ADA;0.9430839737;0.9412734391;0.8042024833;0.9578473265;0.8810249049
commons-io;MLP;3;model1;ROS;0.9472569606;0.9463218628;0.7927411652;0.9648920199;0.8788165925
commons-io;RandomForest;3;model1;NONE;0.9609796865;0.9622913662;0.7526265521;0.9876429149;0.8701347335
commons-io;MLP;3;model1;SMOTE;0.9460354151;0.9460127756;0.7507163324;0.9696269777;0.860171655
commons-io;DT;3;model1;ADA;0.9384136406;0.9373583351;0.7497612225;0.9600415752;0.8549013989
