Dataset;Algoritm;Approach;window;model;resample;F1-Score(weighted);Accuracy;Sensitivity;Specificity;ROC
commons-io;RandomForest;Trad;0;model2;ROS;0.9635281363;0.9626700106;0.8780934922;0.9726175075;0.9253554999
commons-io;RandomForest;Trad;0;model2;ADA;0.9593978836;0.9583293142;0.8643446379;0.9693833549;0.9168639964
commons-io;RandomForest;Trad;0;model1;ADA;0.9597301747;0.9587151539;0.8634280477;0.9699223803;0.916675214
commons-io;RandomForest;Trad;0;model2;SMOTE;0.9606432198;0.959776213;0.8606782768;0.9714316516;0.9160549642
commons-io;DT;Trad;0;model2;SMOTE;0.9490721394;0.946368284;0.8771769019;0.9545062527;0.9158415773
commons-io;DT;Trad;0;model1;ROS;0.9600769352;0.9591974535;0.857928506;0.9711082363;0.9145183711
commons-io;DT;Trad;0;model2;ROS;0.9612548924;0.9605478924;0.8551787351;0.9729409228;0.914059829
commons-io;RandomForest;Trad;0;model1;SMOTE;0.9601775113;0.9593903733;0.8533455545;0.9718628719;0.9126042132
commons-io;DT;Trad;0;model1;SMOTE;0.9470215948;0.9443426256;0.8606782768;0.9541828374;0.9074305571
commons-io;RandomForest;Trad;0;model1;NONE;0.962457815;0.962187711;0.8368469294;0.9769297111;0.9068883203
commons-io;RandomForest;Trad;0;model2;NONE;0.9625750505;0.9624770908;0.8276810266;0.9783311772;0.9030061019
commons-io;DT;Trad;0;model2;NONE;0.9563240364;0.9558213562;0.8166819432;0.9721862872;0.8944341152
commons-io;DT;Trad;0;model1;ADA;0.9438923431;0.9413523681;0.832263978;0.9541828374;0.8932234077
commons-io;DT;Trad;0;model1;NONE;0.9560654746;0.9556284364;0.8120989918;0.9725097025;0.8923043471
commons-io;MLP;Trad;0;model1;ROS;0.9219930722;0.9152117295;0.8285976169;0.9253988788;0.8769982478
commons-io;MLP;Trad;0;model1;SMOTE;0.923898568;0.9188772065;0.7827681027;0.9348857266;0.8588269146
commons-io;MLP;Trad;0;model2;ADA;0.9218130192;0.9162727887;0.7846012832;0.931759379;0.8581803311
commons-io;MLP;Trad;0;model2;ROS;0.921554188;0.9159834089;0.7836846929;0.9315437689;0.8576142309
commons-io;MLP;Trad;0;model1;ADA;0.9164749303;0.9108710331;0.7479376719;0.9300344976;0.8389860847
commons-io;MLP;Trad;0;model2;SMOTE;0.9243500994;0.9214816244;0.7186067828;0.9453428202;0.8319748015
commons-io;DT;Trad;0;model2;ADA;0.9099692961;0.9038294589;0.7176901925;0.9257222941;0.8217062433
commons-io;MLP;Trad;0;model2;NONE;0.9339405356;0.9382656506;0.5719523373;0.9813497197;0.7766510285
commons-io;MLP;Trad;0;model1;NONE;0.9311371256;0.9359506125;0.5527039413;0.9810263044;0.7668651229
commons-io;LogistRegression;Trad;0;model2;SMOTE;0.7845540509;0.736567956;0.7250229148;0.7379258301;0.7314743724
commons-io;LogistRegression;Trad;0;model1;SMOTE;0.7827153705;0.734156458;0.7231897342;0.7354463131;0.7293180236
commons-io;LogistRegression;Trad;0;model2;NONE;0.7762759608;0.725571525;0.725939505;0.7255282449;0.725733875
commons-io;LogistRegression;Trad;0;model2;ROS;0.7808259358;0.73174496;0.7176901925;0.7333980164;0.7255441044
commons-io;LogistRegression;Trad;0;model1;NONE;0.7746253846;0.7234494068;0.7222731439;0.7235877533;0.7229304486
commons-io;LogistRegression;Trad;0;model1;ROS;0.7774592657;0.7274042635;0.7103574702;0.7294092281;0.7198833492
commons-io;LogistRegression;Trad;0;model2;ADA;0.7502422458;0.6921963924;0.6663611366;0.6952350151;0.6807980758
commons-io;LogistRegression;Trad;0;model1;ADA;0.7530499193;0.6960547892;0.6535288726;0.7010564899;0.6772926812
commons-bcel;RandomForest;Trad;0;model2;ADA;0.9736975839;0.973374613;0.7978723404;0.9842209073;0.8910466239
commons-bcel;RandomForest;Trad;0;model1;ADA;0.9728898485;0.972755418;0.7765957447;0.9848783695;0.8807370571
commons-bcel;RandomForest;Trad;0;model2;SMOTE;0.9685618448;0.9678018576;0.7765957447;0.9796186719;0.8781072083
commons-bcel;RandomForest;Trad;0;model1;SMOTE;0.9675003525;0.9665634675;0.7765957447;0.9783037475;0.8774497461
commons-bcel;LogistRegression;Trad;0;model2;SMOTE;0.9192499966;0.9015479876;0.829787234;0.905982906;0.86788507
commons-bcel;LogistRegression;Trad;0;model1;SMOTE;0.920394966;0.9034055728;0.8191489362;0.9086127548;0.8638808455
commons-bcel;DT;Trad;0;model2;ADA;0.9389557237;0.9300309598;0.7872340426;0.9388560158;0.8630450292
commons-bcel;LogistRegression;Trad;0;model2;ROS;0.9169419804;0.8984520124;0.8191489362;0.9033530572;0.8612509967
commons-bcel;LogistRegression;Trad;0;model1;ROS;0.921539258;0.9052631579;0.8085106383;0.9112426036;0.8598766209
commons-bcel;LogistRegression;Trad;0;model1;NONE;0.9146424448;0.8953560372;0.8085106383;0.9007232084;0.8546169234
commons-bcel;LogistRegression;Trad;0;model2;NONE;0.9125039773;0.8922600619;0.8085106383;0.8974358974;0.8529732679
commons-bcel;MLP;Trad;0;model2;SMOTE;0.9644371001;0.9647058824;0.6808510638;0.9822485207;0.8315497923
commons-bcel;MLP;Trad;0;model2;ROS;0.9614161205;0.9616099071;0.6595744681;0.9802761341;0.8199253011
commons-bcel;DT;Trad;0;model1;ADA;0.9463984327;0.9424148607;0.6808510638;0.9585798817;0.8197154727
commons-bcel;MLP;Trad;0;model1;SMOTE;0.9608071416;0.9616099071;0.6276595745;0.9822485207;0.8049540476
commons-bcel;DT;Trad;0;model2;SMOTE;0.9458104943;0.9430340557;0.6276595745;0.9625246548;0.7950921147
commons-bcel;DT;Trad;0;model1;SMOTE;0.9244870068;0.9139318885;0.6276595745;0.9316239316;0.779641753
commons-bcel;RandomForest;Trad;0;model1;ROS;0.9663616752;0.9696594427;0.5531914894;0.9953977646;0.774294627
commons-bcel;MLP;Trad;0;model2;ADA;0.9537290861;0.9547987616;0.5638297872;0.9789612097;0.7713954985
commons-bcel;DT;Trad;0;model1;ROS;0.9417894035;0.9393188854;0.5744680851;0.9618671926;0.7681676389
commons-bcel;MLP;Trad;0;model1;ROS;0.9544891641;0.9566563467;0.5319148936;0.9829059829;0.7574104383
commons-bcel;DT;Trad;0;model2;ROS;0.9448162542;0.9442724458;0.5425531915;0.9690992768;0.7558262341
commons-bcel;DT;Trad;0;model1;NONE;0.93448344;0.9312693498;0.5212765957;0.9566074951;0.7389420454
commons-bcel;RandomForest;Trad;0;model2;ROS;0.9588559561;0.9640866873;0.4574468085;0.9953977646;0.7264222866
commons-bcel;DT;Trad;0;model2;NONE;0.9351612438;0.93374613;0.4787234043;0.9618671926;0.7202952984
commons-bcel;LogistRegression;Trad;0;model1;ADA;0.8963067322;0.8749226006;0.5425531915;0.8954635108;0.7190083512
commons-bcel;LogistRegression;Trad;0;model2;ADA;0.8946748549;0.8724458204;0.5425531915;0.8928336621;0.7176934268
commons-bcel;MLP;Trad;0;model1;ADA;0.9487033461;0.9529411765;0.4361702128;0.9848783695;0.7105242911
commons-bcel;MLP;Trad;0;model1;NONE;0.9551372113;0.9609907121;0.4255319149;0.9940828402;0.7098073776
commons-bcel;MLP;Trad;0;model2;NONE;0.9533505655;0.959752322;0.4042553191;0.9940828402;0.6991690797
commons-bcel;RandomForest;Trad;0;model1;NONE;0.9489585171;0.9585139319;0.3191489362;0.9980276134;0.6585882748
commons-bcel;RandomForest;Trad;0;model2;NONE;0.940489148;0.9541795666;0.2234042553;0.9993425378;0.6113733966
wro4j;RandomForest;Our;3;model2;ADA;0.9366822295;0.9347581552;0.8044692737;0.9526612078;0.8785652408
wro4j;RandomForest;Our;3;model2;SMOTE;0.9362433297;0.9349831271;0.7783985102;0.9564994882;0.8674489992
wro4j;RandomForest;Our;3;model1;ADA;0.9344252708;0.9329583802;0.7765363128;0.9544524053;0.8654943591
wro4j;DT;Our;3;model2;ADA;0.9264681786;0.9235095613;0.7839851024;0.9426816786;0.8633333905
wro4j;RandomForest;Our;3;model1;SMOTE;0.9345805788;0.9336332958;0.7597765363;0.9575230297;0.858649783
wro4j;DT;Our;3;model2;SMOTE;0.92378251;0.9205849269;0.7765363128;0.9403787103;0.8584575116
wro4j;DT;Our;3;model1;SMOTE;0.9255349564;0.9230596175;0.7635009311;0.9449846469;0.854242789
wro4j;DT;Our;3;model1;ADA;0.9206335296;0.9176602925;0.7523277467;0.9403787103;0.8463532285
wro4j;RandomForest;Our;3;model2;ROS;0.9339995156;0.9356580427;0.677839851;0.9710849539;0.8244624025
wro4j;RandomForest;Our;3;model1;ROS;0.9319080996;0.9338582677;0.6629422719;0.9710849539;0.8170136129
wro4j;DT;Our;3;model2;ROS;0.9208102538;0.9212598425;0.6610800745;0.957011259;0.8090456667
wro4j;DT;Our;3;model1;ROS;0.9230123436;0.9239595051;0.6573556797;0.960593654;0.8089746669
wro4j;MLP;Our;3;model1;ADA;0.8873269508;0.8785151856;0.7094972067;0.9017400205;0.8056186136
wro4j;MLP;Our;3;model1;ROS;0.8993881368;0.894488189;0.687150838;0.9229785056;0.8050646718
wro4j;MLP;Our;3;model1;SMOTE;0.9027208088;0.8992125984;0.6722532588;0.9303991812;0.80132622
wro4j;DT;Our;3;model2;NONE;0.9174922701;0.9183352081;0.6387337058;0.9567553736;0.7977445397
