Dataset;Algoritm;window;model;resample;F1-Score(weighted);Accuracy;Sensitivity;Specificity;ROCAUCscore
commons-io;DT;2;model1;NONE;0.949074805;0.9485900438;0.7853795689;0.9684787574;0.8769291632
commons-io;MLP;2;model1;ADA;0.9373699479;0.9348467882;0.7985004686;0.9514618547;0.8749811617
commons-io;DT;2;model1;SMOTE;0.9326283159;0.9294512878;0.7919400187;0.9462083143;0.8690741665
commons-io;DT;2;model1;ROS;0.947383383;0.9474702229;0.7544517338;0.9709913202;0.862721527
commons-io;MLP;2;model1;NONE;0.9405798844;0.942685534;0.6597938144;0.9771585199;0.8184761672
commons-io;LogistRegression;2;model1;NONE;0.7924133664;0.7480403135;0.7544517338;0.7472590224;0.7508553781
commons-io;LogistRegression;2;model1;SMOTE;0.79627425;0.7534358139;0.7413308341;0.7549109182;0.7481208762
commons-io;LogistRegression;2;model1;ROS;0.796259059;0.7534358139;0.740393627;0.7550251256;0.7477093763
commons-io;LogistRegression;2;model1;ADA;0.7898593204;0.7450880586;0.73289597;0.746573778;0.739734874
commons-io;RandomForest;3;model1;ROS;0.9665013157;0.9667216155;0.8309455587;0.9831389306;0.9070422447
commons-io;RandomForest;3;model1;SMOTE;0.9618290542;0.961982279;0.8147086915;0.9797898141;0.8972492528
commons-io;RandomForest;3;model1;ADA;0.9623528718;0.9626004533;0.811843362;0.9808291951;0.8963362785
commons-io;DT;3;model1;SMOTE;0.9357075476;0.9321038533;0.8261700096;0.9449128075;0.8855414085
commons-io;MLP;3;model1;ADA;0.9430839737;0.9412734391;0.8042024833;0.9578473265;0.8810249049
commons-io;MLP;3;model1;ROS;0.9472569606;0.9463218628;0.7927411652;0.9648920199;0.8788165925
commons-io;RandomForest;3;model1;NONE;0.9609796865;0.9622913662;0.7526265521;0.9876429149;0.8701347335
commons-io;MLP;3;model1;SMOTE;0.9460354151;0.9460127756;0.7507163324;0.9696269777;0.860171655
commons-io;DT;3;model1;ADA;0.9384136406;0.9373583351;0.7497612225;0.9600415752;0.8549013989
commons-io;DT;3;model1;ROS;0.946233905;0.9470430661;0.7211079274;0.9743619356;0.8477349315
commons-io;DT;3;model1;NONE;0.9431265961;0.9452915722;0.664756447;0.9792123802;0.8219844136
commons-io;MLP;3;model1;NONE;0.9426784158;0.9453946013;0.6466093601;0.9815221157;0.8140657379
commons-io;LogistRegression;3;model1;ROS;0.8065257525;0.7671543375;0.7258834766;0.7721445894;0.749014033
commons-io;LogistRegression;3;model1;ADA;0.8039209999;0.7637543787;0.7220630372;0.7687954729;0.7454292551
commons-io;LogistRegression;3;model1;NONE;0.8055309446;0.766227076;0.7096466094;0.7730684837;0.7413575465
commons-io;LogistRegression;3;model1;SMOTE;0.8066823997;0.7678755409;0.70582617;0.7753782192;0.7406021946
commons-io;RandomForest;4;model1;ADA;0.9688635744;0.9691473838;0.8412698413;0.9852164731;0.9132431572
commons-io;RandomForest;4;model1;SMOTE;0.9689357523;0.9692516156;0.8394024276;0.9855684618;0.9124854447
commons-io;RandomForest;4;model1;ROS;0.969926332;0.9705023973;0.8253968254;0.9887363604;0.9070665929
commons-io;DT;4;model1;SMOTE;0.9361240034;0.933083177;0.8188608777;0.9474363487;0.8831486132
commons-io;MLP;4;model1;ROS;0.9480773064;0.9473629352;0.7964519141;0.9663264109;0.8813891625
commons-io;DT;4;model1;ADA;0.9393121467;0.9373566813;0.7973856209;0.9549454417;0.8761655313
commons-io;MLP;4;model1;ADA;0.9462958776;0.945799458;0.7787114846;0.9667957292;0.8727536069
commons-io;MLP;4;model1;SMOTE;0.9479477065;0.9478840942;0.7693744164;0.9703156166;0.8698450165
commons-io;RandomForest;4;model1;NONE;0.9611282684;0.9631019387;0.7273576097;0.9927255661;0.8600415879
commons-io;DT;4;model1;NONE;0.9471042723;0.9476756306;0.741363212;0.9736008448;0.8574820284
commons-io;DT;4;model1;ROS;0.9474877724;0.9483010215;0.7338935574;0.9752434589;0.8545685081
commons-io;MLP;4;model1;NONE;0.9456086263;0.9478840942;0.6769374416;0.9819312449;0.8294343433
commons-io;LogistRegression;4;model1;ROS;0.8088532349;0.7706900146;0.7740429505;0.7702686847;0.7721558176
commons-io;LogistRegression;4;model1;SMOTE;0.8099953289;0.7723577236;0.7675070028;0.772967265;0.7702371339
commons-io;LogistRegression;4;model1;NONE;0.8036369501;0.7637064832;0.7777777778;0.7619382846;0.7698580312
commons-io;LogistRegression;4;model1;ADA;0.8009373587;0.7601626016;0.776844071;0.7580664085;0.7674552398
commons-io;RandomForest;2;model2;ROS;0.9669042078;0.9666089789;0.8669165886;0.9787574235;0.922837006
commons-io;RandomForest;2;model2;ADA;0.9649139204;0.9645729411;0.8594189316;0.9773869347;0.9184029331
commons-io;RandomForest;2;model2;SMOTE;0.9643887108;0.9640639316;0.8556701031;0.9772727273;0.9164714152
commons-io;MLP;2;model2;ROS;0.9183635205;0.9099053242;0.8744142455;0.9142302421;0.8943222438
commons-io;DT;2;model2;SMOTE;0.9426241739;0.9400386847;0.8350515464;0.9528323435;0.893941945
commons-io;RandomForest;2;model2;NONE;0.9633401197;0.9640639316;0.7910028116;0.9851530379;0.8880779248
commons-io;DT;2;model2;ADA;0.9396279714;0.9367810241;0.8256794752;0.9503197807;0.8879996279
commons-io;DT;2;model2;NONE;0.9484595132;0.9476738267;0.7947516401;0.9663088168;0.8805302285
commons-io;MLP;2;model2;SMOTE;0.9281067014;0.9231395704;0.824742268;0.9351301964;0.8799362322
commons-io;MLP;2;model2;ADA;0.9311756285;0.9280260613;0.7816307404;0.9458656921;0.8637482162
commons-io;DT;2;model2;ROS;0.9471605353;0.9473684211;0.7488284911;0.9715623572;0.8601954242
commons-io;MLP;2;model2;NONE;0.9424593002;0.9443143642;0.6738519213;0.9772727273;0.8255623243
commons-io;LogistRegression;2;model2;NONE;0.7931260535;0.7488547287;0.7610121837;0.7473732298;0.7541927067
commons-io;LogistRegression;2;model2;ROS;0.7972350903;0.7544538328;0.7535145267;0.754568296;0.7540414114
commons-io;LogistRegression;2;model2;SMOTE;0.7979725993;0.7555736537;0.7469540769;0.7566240292;0.751789053
commons-io;LogistRegression;2;model2;ADA;0.792213804;0.7480403135;0.7413308341;0.748857926;0.7450943801
commons-io;RandomForest;3;model2;ROS;0.966505479;0.9666185864;0.8376313276;0.9822150364;0.909923182
commons-io;MLP;3;model2;ROS;0.9413538333;0.9379765094;0.8576886342;0.9476844901;0.9026865622
commons-io;RandomForest;3;model2;SMOTE;0.9620052822;0.9620853081;0.8194842407;0.979327867;0.8994060538
commons-io;RandomForest;3;model2;ADA;0.9634700191;0.9637337729;0.8156638013;0.9816376025;0.8986507019
commons-io;MLP;3;model2;SMOTE;0.9406814584;0.9378734803;0.8290353391;0.9510336067;0.8900344729
commons-io;DT;3;model2;SMOTE;0.9376958847;0.9351947249;0.7975167144;0.9518420141;0.8746793643
commons-io;RandomForest;3;model2;NONE;0.9624973321;0.963836802;0.7554918816;0.9890287562;0.8722603189
commons-io;DT;3;model2;ADA;0.9420245055;0.9420976715;0.7287488061;0.9678946761;0.8483217411
commons-io;MLP;3;model2;ADA;0.9431888919;0.9437461364;0.7172874881;0.9711283058;0.8442078969
commons-io;DT;3;model2;ROS;0.9444254273;0.9451885432;0.7153772684;0.9729760942;0.8441766813
commons-io;DT;3;model2;NONE;0.9410779097;0.942921904;0.6676217765;0.976209724;0.8219157502
commons-io;MLP;3;model2;NONE;0.9434932387;0.9463218628;0.6456542502;0.9826769835;0.8141656169
commons-io;LogistRegression;3;model2;ROS;0.8119147737;0.7743663713;0.7268385864;0.780113177;0.7534758817
